#	timestep	total	type0	type1	type2
0 0.000000 0.000000 0.000000 0.000000
1 0.415694 0.857760 0.351371 0.230921
2 0.432270 0.991285 0.345719 0.219456
3 0.452087 1.089415 0.350686 0.220363
4 0.475939 1.175198 0.362821 0.229153
5 0.491605 1.243026 0.368648 0.232011
6 0.501773 1.302475 0.369342 0.230794
7 0.517771 1.362935 0.376900 0.236095
8 0.527445 1.412359 0.378963 0.236458
9 0.538036 1.460180 0.382353 0.238623
10 0.547608 1.504593 0.385303 0.239840
11 0.556607 1.545912 0.388042 0.241562
12 0.563929 1.585054 0.389171 0.241838
13 0.571882 1.622037 0.391569 0.242980
14 0.579794 1.658014 0.394065 0.244492
15 0.586724 1.692402 0.395679 0.245229
16 0.593701 1.726426 0.397481 0.245856
17 0.601055 1.760301 0.399687 0.247283
18 0.607533 1.792843 0.401188 0.247604
19 0.614111 1.825241 0.402730 0.248508
20 0.621162 1.858494 0.404685 0.249737
21 0.627460 1.888179 0.406532 0.250452
22 0.633273 1.916554 0.407989 0.251129
23 0.639587 1.947458 0.409567 0.251799
24 0.646077 1.979030 0.411171 0.252747
25 0.651188 2.004467 0.412400 0.253059
26 0.656163 2.030377 0.413265 0.253540
27 0.661957 2.056248 0.415233 0.254564
28 0.667759 2.083947 0.416778 0.255496
29 0.671995 2.109152 0.416981 0.254891
30 0.678047 2.136230 0.418957 0.256223
31 0.683574 2.162738 0.420404 0.257088
32 0.688210 2.186959 0.421211 0.257458
33 0.693533 2.213978 0.422390 0.257663
34 0.699238 2.241369 0.423870 0.258580
35 0.704492 2.266418 0.425311 0.259290
36 0.709314 2.291598 0.426172 0.259598
37 0.714052 2.313858 0.427532 0.260329
38 0.718860 2.338294 0.428552 0.260657
39 0.723278 2.361705 0.429264 0.260906
40 0.728518 2.384922 0.430978 0.262277
41 0.733074 2.407759 0.432111 0.262244
42 0.737321 2.429896 0.432871 0.262547
43 0.741752 2.453225 0.433590 0.262929
44 0.747432 2.478645 0.435476 0.264041
45 0.751032 2.500436 0.435508 0.263724
46 0.755653 2.522421 0.436717 0.264629
47 0.759527 2.543917 0.437243 0.264273
48 0.763857 2.565976 0.438065 0.264906
49 0.768411 2.588115 0.439221 0.265469
50 0.772750 2.610004 0.440075 0.266192
51 0.776982 2.632346 0.440860 0.266107
52 0.781254 2.652376 0.442080 0.266831
53 0.785385 2.672907 0.443002 0.267393
54 0.789301 2.695522 0.443276 0.267177
55 0.793969 2.717923 0.444532 0.267759
56 0.798258 2.740045 0.445320 0.268223
57 0.803391 2.763813 0.446862 0.269085
58 0.806331 2.784224 0.446412 0.268117
59 0.811208 2.804923 0.448202 0.269519
60 0.815135 2.825026 0.448979 0.269872
61 0.819485 2.846837 0.449944 0.270296
62 0.823305 2.866265 0.450739 0.270609
63 0.827520 2.889024 0.451372 0.270609
64 0.831935 2.909892 0.452554 0.271502
65 0.836198 2.929841 0.453721 0.272460
66 0.839703 2.949534 0.454142 0.272118
67 0.843756 2.969446 0.455204 0.272270
68 0.848143 2.990522 0.456270 0.273258
69 0.851621 3.011346 0.456286 0.273237
70 0.855656 3.030913 0.457387 0.273474
71 0.860185 3.053826 0.458350 0.273884
72 0.863994 3.073747 0.459004 0.274202
73 0.867836 3.092127 0.459995 0.274907
74 0.871258 3.110899 0.460474 0.274751
75 0.875589 3.130428 0.461856 0.275683
76 0.878860 3.149844 0.461882 0.275785
77 0.883194 3.170442 0.463127 0.276212
78 0.886825 3.189708 0.463746 0.276257
79 0.890719 3.210044 0.464383 0.276737
80 0.894580 3.229692 0.465165 0.277131
81 0.898236 3.247868 0.466016 0.277481
82 0.901092 3.266219 0.465841 0.276966
83 0.905586 3.287405 0.467101 0.277707
84 0.909506 3.306580 0.468058 0.278227
85 0.912850 3.325603 0.468296 0.278317
86 0.917328 3.345017 0.469869 0.279478
87 0.920052 3.362969 0.469665 0.278682
88 0.924463 3.383972 0.470808 0.279572
89 0.927566 3.400528 0.471310 0.279631
90 0.931643 3.420504 0.472222 0.280462
91 0.934813 3.438472 0.472535 0.280262
92 0.938224 3.455754 0.473255 0.280569
93 0.941488 3.473299 0.473761 0.280586
94 0.944778 3.491473 0.474189 0.280441
95 0.948343 3.510126 0.474722 0.281044
96 0.951918 3.529424 0.475275 0.280983
97 0.955685 3.548266 0.476097 0.281459
98 0.959516 3.568518 0.476754 0.281563
99 0.964533 3.590288 0.478538 0.282759
100 0.967695 3.607014 0.479073 0.282868
101 0.971350 3.626868 0.479525 0.283129
102 0.975724 3.648254 0.480602 0.283684
103 0.979172 3.667350 0.481016 0.283617
104 0.982943 3.685562 0.481946 0.284313
105 0.986128 3.704246 0.482158 0.283886
106 0.989765 3.722593 0.482880 0.284476
