#	r	total	0-0	0-1	0-2	1-1	1-2	2-2
0.017382 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.052147 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.086912 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.121677 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.156442 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.191207 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.225972 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.260737 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.295502 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.330267 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.365032 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.399797 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.434562 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.469327 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.504092 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.538857 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.573622 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.608387 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.643152 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.677917 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.712682 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.747447 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.782212 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.816977 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.851742 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.886507 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.921272 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.956037 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.990802 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.025567 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.060332 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.095097 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.129862 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.164627 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.199392 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.234157 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.268922 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.303687 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.338452 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.373217 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.407982 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.442747 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.477512 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.512277 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.547042 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.581807 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.616572 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.651337 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.686102 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.720867 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.755632 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.790397 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.825162 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.859927 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.894692 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.929457 0.000004 0.000000 0.000000 0.000000 0.000000 0.000018 0.000000
1.964222 0.000508 0.000000 0.000017 0.000000 0.000000 0.002270 0.000000
1.998987 0.013030 0.000000 0.000198 0.000000 0.000000 0.058438 0.000000
2.033752 0.152954 0.000000 0.001433 0.000000 0.000000 0.686860 0.000000
2.068517 0.839137 0.000000 0.008095 0.000000 0.000000 3.768019 0.000000
2.103282 2.413984 0.000000 0.038599 0.000000 0.000000 10.824329 0.000000
2.138047 3.964730 0.000000 0.127319 0.000000 0.000000 17.713967 0.000000
2.172812 4.067125 0.000000 0.340415 0.000000 0.000000 17.961648 0.000000
2.207577 2.889910 0.000000 0.755711 0.000000 0.000000 12.248882 0.000000
2.242342 1.655329 0.000000 1.379947 0.000000 0.000000 6.069034 0.000000
2.277107 1.008782 0.000000 2.198513 0.000000 0.000000 2.341008 0.000000
2.311872 0.862810 0.000000 3.097193 0.000000 0.000000 0.785452 0.000000
2.346637 0.931674 0.000000 3.945707 0.000000 0.000000 0.246826 0.000000
2.381402 1.032036 0.000000 4.563646 0.000000 0.000000 0.080518 0.000000
2.416167 1.097265 0.000000 4.907881 0.000000 0.000000 0.029814 0.000000
2.450932 1.105624 0.000000 4.963861 0.000044 0.000000 0.011434 0.000000
2.485697 1.064151 0.000000 4.783798 0.000000 0.000000 0.004881 0.000000
2.520462 0.983308 0.000000 4.422573 0.000041 0.000000 0.002301 0.000000
